Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
MD1300,Flujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1300,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1301,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1301,Contraflujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1303,Flujo,DIDI / FOOD - INDIGO,DIDI,RENTA,55317,"$1,960",70539,11131,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1303,Contraflujo,DIDI / FOOD - INDIGO,DIDI,RENTA,55317,"$1,960",70539,11131,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1304,Flujo,HELADOS NESTLE,BUFALO,RENTA,55250,"$3,600",70812,11513,RT-P1-COB-MR,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,SEBASTIAN YATRA,Mérida
MD1304,Contraflujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1305,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1305,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1306,Flujo,LIGA LPGA CDMX Y MD 2026,CORTESIA,CORTESIA,55287,$0,70885,10867,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,LIGA LPGA CDMX Y MERIDA 2026,Mérida
MD1306,Contraflujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1307,Flujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
MD1307,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1308,Flujo,TECEL IMUndial 2026,TELCEL,RENTA,55416,"$2,200",70814,1880,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,PAQUETE 4 HORAS,Mérida
MD1308,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1309,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1309,Contraflujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
MD1310,Flujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1310,Contraflujo,ROSQUITAS 2026,GALLETAS DONDE,CORTESIA,1356,"$2,103",1356,0,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,ROSQUITAS,Mérida
MD1311,Flujo,POWERADE FIFA,COCA COLA,RENTA,55429,"$2,450",70923,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,POWERADE FIFA,Mérida
MD1311,Contraflujo,POWERADE FIFA,COCA COLA,RENTA,55429,"$2,450",70923,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,POWERADE FIFA,Mérida
MD1312,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1312,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1313,Flujo,INSCRIPCIONES 2026,CERT,RENTA,53841,"$2,100",70452,9782,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1313,Contraflujo,FARMACIAS SIMILARES Planta fija 2026,FARMACIAS SIMILARES,RENTA,55312,"$2,575",70508,1559,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,FONDO ROJO,Mérida
MD1314,Flujo,FARMACIAS SIMILARES Planta fija 2026,FARMACIAS SIMILARES,RENTA,55312,"$2,575",70508,1559,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,FONDO ROJO,Mérida
MD1314,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1315,Flujo,ELECTROLIT,ELECTROLIT,RENTA,1690,"$2,958",1376,10460,RT-P1-COB-MR,BEGOÑA BEORLEGUI,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1315,Contraflujo,HELADOS NESTLE,BUFALO,RENTA,55250,"$3,600",70812,11513,RT-P1-COB-MR,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,SEBASTIAN YATRA,Mérida
MD1316,Flujo,POWERADE FIFA,COCA COLA,RENTA,55429,"$2,450",70923,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,POWERADE FIFA,Mérida
MD1316,Contraflujo,POWERADE FIFA,COCA COLA,RENTA,55429,"$2,450",70923,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,POWERADE FIFA,Mérida
MD1317,Flujo,HELADOS NESTLE,BUFALO,RENTA,55250,"$3,600",70812,11513,RT-P1-COB-MR,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,SEBASTIAN YATRA,Mérida
MD1317,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1318,Flujo,ROSQUITAS 2026,GALLETAS DONDE,CORTESIA,1356,"$2,103",1356,0,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,ROSQUITAS,Mérida
MD1318,Contraflujo,VIX MUNDIAL,VIX,RENTA,1694,"$3,742",1434,10371,RT-P1-COB-MR,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,TELEVISA COPA MUNDIAL,Mérida
MD1319,Flujo,DIDI / FOOD - INDIGO,DIDI,RENTA,55317,"$1,960",70539,11131,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1319,Contraflujo,DIDI / FOOD - INDIGO,DIDI,RENTA,55317,"$1,960",70539,11131,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1320,Flujo,MEXICO VS MEXICO,COCA COLA,RENTA,55382,"$2,450",70905,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,MÉXICO VS MÉXICO,Mérida
MD1320,Contraflujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
