Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
1229,Flujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1229,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1907C,Flujo,Warner / LAS CRONICAS DE LA MOMIA,WARNER PICTURES,RENTA,55436,"$3,355",70927,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1907C,Contraflujo,Tecate emblema,OCESA,IN - RENTA (INTERCAMBIO),55426,$0,70830,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,Tecate emblema,Ciudad de México
1231,Flujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1231,Contraflujo,BBVA PORTABILIDAD DE NOMINA 26,BBVA,RENTA,55327,"$2,742",70889,9577,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,300 POR CADA AMIGO ,Ciudad de México
1908C,Flujo,SABA,SABA,RENTA,1700,"$4,200",1300,11432,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,SABA INVISIBLE,Ciudad de México
1908C,Contraflujo,PLAN AT&T MUNDIAL,AT&T,RENTA,55347,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,MI SELECCIÓN HONOR,Ciudad de México
1232,Flujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1709,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #7,LATAS,Ciudad de México
1232,Contraflujo,CAPITAL ONE 2026 Q2,CAPITAL ONE,RENTA,55321,"$4,347",70662,11284,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,HOMBRE Y MUJER,Ciudad de México
1909C,Flujo,BBVA PORTABILIDAD DE NOMINA 26,BBVA,RENTA,55327,"$2,742",70889,9577,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,300 POR CADA AMIGO ,Ciudad de México
1909C,Contraflujo,SABRITAS MUNDIAL,SABRITAS,RENTA,55348,"$4,015",70541,2312,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,"SABRITAS 38,00 PREMIOS",Ciudad de México
1233,Flujo,TECEL IMUndial 2026,TELCEL,RENTA,55416,"$4,300",70814,1880,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,PAQUETE 4 HORAS,Ciudad de México
1233,Contraflujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1709,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #7,LATAS,Ciudad de México
1910C,Flujo,MMyT . EXPOSICIÓN: JUEGO LIMPIO,MUSEO MEMORIA Y TOLERANCIA,CORTESIA,55318,$0,70893,10635,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,JUEGO LIMPIO,Ciudad de México
1910C,Contraflujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1235,Flujo,MALCOM,DISNEY,RENTA,55365,"$4,171",70894,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,MALCOM,Ciudad de México
1235,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1911C,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1911C,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
8202,Flujo,JADORE,JADORE,RENTA,1702,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,JADORE RIHANA,Ciudad de México
8202,Contraflujo,JADORE,JADORE,RENTA,1702,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7, JADORE BOTELLA,Ciudad de México
8902C,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
8902C,Contraflujo,Tecate emblema,OCESA,IN - RENTA (INTERCAMBIO),55426,$0,70830,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,Tecate emblema,Ciudad de México
1045,Flujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55428,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1045,Contraflujo,MASTERCARD,MASTERCARD,RENTA,55251,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,MASTERCARD,Ciudad de México
1046,Flujo,PANTENE,PANTENE,RENTA,55350,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1046,Contraflujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1551,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1551,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1552,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1552,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1053,Flujo,TECEL IMUndial 2026,TELCEL,RENTA,55416,"$4,300",70814,1880,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,PAQUETE 4 HORAS,Ciudad de México
1053,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1054,Contraflujo,EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,55401,"$3,935",70714,9898,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,PERIÓDICO ABIERTO,Ciudad de México
1055,Flujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1055,Contraflujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55428,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1056,Flujo,PANTENE,PANTENE,RENTA,55350,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1056,Contraflujo,PLAN AT&T MUNDIAL,AT&T,RENTA,55347,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,IPHONE 17,Ciudad de México
1057,Flujo,PUIG PACO RABANE 2026,PACO RABANNE,RENTA,55257,"$6,353",70596,10943,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,PRODUCTO,Ciudad de México
1057,Contraflujo,BBVA PORTABILIDAD DE NOMINA 26,BBVA,RENTA,55327,"$2,742",70889,9577,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,300 POR CADA AMIGO ,Ciudad de México
1058,Flujo,JADORE,JADORE,RENTA,1702,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,JADORE RIHANA,Ciudad de México
1058,Contraflujo,JADORE,JADORE,RENTA,1702,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7, JADORE BOTELLA,Ciudad de México
1059,Flujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1059,Contraflujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1560,Contraflujo,MUSEO DE CERA,GRUPO MUSICAL CAÑAVERAL,RENTA,1674,"$2,120",1461,10636,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1561,Flujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1561,Contraflujo,CAPITAL ONE 2026 Q2,CAPITAL ONE,RENTA,55321,"$4,347",70662,11284,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,HOMBRE,Ciudad de México
1562,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1562,Contraflujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1709,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #7,POWERADE TAPAS DORADAS,Ciudad de México
1064,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1064,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1065,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1065,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1066,Flujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1066,Contraflujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1067,Flujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1067,Contraflujo,MASTERCARD,MASTERCARD,RENTA,55251,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,MASTERCARD,Ciudad de México
1068,Flujo,SABRITAS MUNDIAL,SABRITAS,RENTA,55348,"$4,015",70541,2312,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,"SABRITAS 38,00 PREMIOS",Ciudad de México
1068,Contraflujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1709,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #7,LATAS,Ciudad de México
1069,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1069,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1070,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1070,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1071,Contraflujo,SUPER MARIO GALAXY,UNIVERSAL PICTURES,RENTA,55259,"$3,355",70722,9664,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1072,Flujo,JADORE,JADORE,RENTA,1702,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,JADORE RIHANA,Ciudad de México
1072,Contraflujo,JADORE,JADORE,RENTA,1702,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7, JADORE BOTELLA,Ciudad de México
1073,Flujo,PUIG PACO RABANE 2026,PACO RABANNE,RENTA,55257,"$6,353",70596,10943,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,MODELO,Ciudad de México
1073,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1074,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1074,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1075,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1076,Flujo,ELECTROLIT,ELECTROLIT,RENTA,1690,"$3,632",1376,10460,RT-P1-COB-MX,BEGOÑA BEORLEGUI,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1076,Contraflujo,NESQUIK,NESQUIK,RENTA,55389,"$2,337",70873,10831,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NESQUIK,Ciudad de México
1577,Flujo,MUSEO DE CERA,GRUPO MUSICAL CAÑAVERAL,RENTA,1674,"$2,120",1461,10636,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1577,Contraflujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1079,Flujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1079,Contraflujo,NESQUIK,NESQUIK,RENTA,55389,"$2,337",70873,10831,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NESQUIK,Ciudad de México
1080,Flujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1080,Contraflujo,Tecate emblema,OCESA,IN - RENTA (INTERCAMBIO),55426,$0,70830,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,Tecate emblema,Ciudad de México
1081,Flujo,PANTENE,PANTENE,RENTA,55350,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1081,Contraflujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55428,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1082,Flujo,Tecate emblema,OCESA,IN - RENTA (INTERCAMBIO),55426,$0,70830,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,Tecate emblema,Ciudad de México
1082,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1083,Flujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1083,Contraflujo,Tecate emblema,OCESA,IN - RENTA (INTERCAMBIO),55426,$0,70830,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,Tecate emblema,Ciudad de México
1084,Flujo,Warner / LAS CRONICAS DE LA MOMIA,WARNER PICTURES,RENTA,55436,"$3,355",70927,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1084,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1085,Flujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1085,Contraflujo,MASTERCARD,MASTERCARD,RENTA,55251,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,MASTERCARD,Ciudad de México
1086,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1086,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1087,Flujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1087,Contraflujo,MALCOM,DISNEY,RENTA,55365,"$4,171",70894,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,MALCOM,Ciudad de México
1088,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1092,Flujo,EL PALACIO GASTRONOMIA,EL PALACIO DE HIERRO,BONIFICACION,55403,$0,70808,9898,BF-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #7,DENOMINACION,Ciudad de México
1092,Contraflujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1093,Flujo,PANTENE,PANTENE,RENTA,55350,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1093,Contraflujo,MUSEO DE CERA,GRUPO MUSICAL CAÑAVERAL,RENTA,1674,"$2,120",1461,10636,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1094,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1095,Flujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1095,Contraflujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55428,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1098,Flujo,TEQUILA 1800,JOSE CUERVO TRADICIONAL,RENTA,55261,"$4,741",70829,10396,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,TEQUILA 1800,Ciudad de México
1098,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1099,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1099,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1100,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1100,Contraflujo,MALCOM,DISNEY,RENTA,55365,"$4,171",70894,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,MALCOM,Ciudad de México
1101,Flujo,BBVA PORTABILIDAD DE NOMINA 26,BBVA,RENTA,55327,"$2,742",70889,9577,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,300 POR CADA AMIGO ,Ciudad de México
1101,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1102,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1102,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1103,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1103,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1104,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1105,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1105,Contraflujo,PLAN AT&T MUNDIAL,AT&T,RENTA,55347,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,IPHONE 17 PRO,Ciudad de México
1106,Flujo,MASTERCARD,MASTERCARD,RENTA,55251,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,MASTERCARD,Ciudad de México
1106,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1107,Flujo,PANTENE,PANTENE,RENTA,55350,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1107,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55313,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
1108,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1703,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #7,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1108,Contraflujo,SUPER MARIO GALAXY,UNIVERSAL PICTURES,RENTA,55259,"$3,355",70722,9664,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,GENERICO,Ciudad de México
