Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
GOU PRODUCCIONES MATILDA,GOU PRODUCCIONES,RENTA,54884,"$3,213",70763,11635,RT-P1-COB-MX,DULCE BALTIERRA,,Catorcenas 2026,Catorcena #5,EMILIA,,,,1229,Flujo,Ciudad de México,RENTA,
CINEPOLIS TEMPORADA DE PREMIOS,CINEPOLIS,RENTA,54760,"$4,300",70737,10427,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #5,TEMPORADA DE PREMIOS CINEPOLIS,,,,1229,Contraflujo,Ciudad de México,RENTA,
EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,54853,"$3,935",70661,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #5,GENERICO,,,,1907C,Flujo,Ciudad de México,RENTA,
HERBAL,HERBAL ESSENSES,RENTA,54778,"$3,966",70603,11260,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #5,HERBAL PERFUME CAPILAR,,,,1907C,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54729,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #5,TASTER´S CHOICE,,,,1231,Flujo,Ciudad de México,RENTA,
NESTLE LA LECHERA,LA LECHERA,RENTA,54724,"$2,337",70665,11753,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #5,CARNATION Y LECHERA,,,,1231,Contraflujo,Ciudad de México,RENTA,
SECRET CAROLINA,SECRET,RENTA,54845,"$3,575",70750,11254,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #5,SECRET,,,,1908C,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54774,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #5,AT&T IPHONE 17 PRO,,,,1908C,Contraflujo,Ciudad de México,RENTA,
CAPITAL ONE 2026 Q2,CAPITAL ONE,RENTA,54822,"$4,347",70662,11284,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #5,FONDO AMARILLO,,,,1232,Flujo,Ciudad de México,RENTA,
DiDi / CARD,DIDI,RENTA,54792,"$3,965",70695,11751,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #5,GENERICO,,,,1232,Contraflujo,Ciudad de México,RENTA,
