Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
Miss Dior,JADORE,RENTA,1328,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,MISS DIOR BOTELLA,,,,8202,Contraflujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 7 PERFUMES,,,,8902C,Flujo,Ciudad de México,RENTA,
POST DAY,POST DAY,RENTA,1332,"$3,900",1350,11748,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,POST DAY,,,,8902C,Contraflujo,Ciudad de México,RENTA,
AFORE XXI,CARRERA KARDIAS,RENTA,54638,"$3,105",#N/A,#N/A,#N/A,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,AFORE XXI,,,,1045,Flujo,Ciudad de México,RENTA,
AVON ULTRA REINVENCION,AVON,RENTA,1301,"$2,968",1347,11287,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,AVÓN ,,,,1045,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1339,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1046,Flujo,Ciudad de México,RENTA,
DIDI RIDES - Zonas,DIDI,RENTA,54607,"$2,695",70587,11751,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,30% OFF EN MAÑANAS Y TARDES,,,,1046,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1551,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1551,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1552,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1552,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1339,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1053,Flujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 7 PERFUMES,,,,1053,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,RENTA,54635,"$3,835",70589,9898,RT-CL-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,PERIÓDICO ABIERTO,,,,1054,Contraflujo,Ciudad de México,RENTA,
EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,54639,"$3,935",70661,9898,RT-P2-COB-BR,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,POLANCO,,,,1055,Flujo,Ciudad de México,RENTA,
