Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
CRIME 101,SONY PICTURES,RENTA,54361,"$3,327",70627,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,CAMINOS DEL CRIMEN ,,,,1229,Flujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1168,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,EL MOCHAOREJAS,,,,1229,Contraflujo,Ciudad de México,RENTA,
AFORE XXI,CARRERA KARDIAS,RENTA,54401,"$3,105",70648,10475,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,AFORE XXI,,,,1907C,Flujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1907C,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54256,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,TASTER´S CHOICE,,,,1231,Flujo,Ciudad de México,RENTA,
THE GOAT,SONY PICTURES,RENTA,54285,"$3,327",70600,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,THE GOAT,,,,1231,Contraflujo,Ciudad de México,RENTA,
AUDIBLE,AUDIBLE,RENTA,54396,"$3,153",70577,11487,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,AUDIBLE,,,,1908C,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54281,"$4,186",70482,11249,RT-CL-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1908C,Contraflujo,Ciudad de México,RENTA,
EDC 2026,OCESA,INTERCAMBIO,54348,$0,70605,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1232,Flujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1168,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,EL MOCHAOREJAS,,,,1232,Contraflujo,Ciudad de México,RENTA,
CRIME 101,SONY PICTURES,RENTA,54361,"$3,327",70627,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,CAMINOS DEL CRIMEN ,,,,1909C,Flujo,Ciudad de México,RENTA,
LOREAL / GARNIER - HAIR FOODIES - Ola 1,GARNIER,RENTA,54314,"$3,400",70578,5174,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,DANNA DE ESPALDA,,,,1909C,Contraflujo,Ciudad de México,RENTA,
LOREAL / GARNIER - HAIR FOODIES - Ola 1,GARNIER,RENTA,54314,"$3,400",70578,5174,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,DANNA DE ESPALDA,,,,1233,Flujo,Ciudad de México,RENTA,
BBVA SEGURO DE AUTO,BBVA,RENTA,54331,"$2,742",70535,9058,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #3,LA AYUDA ESTA A UN CLIC,,,,1233,Contraflujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1040,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,1910C,Flujo,Ciudad de México,RENTA,
CRIME 101,SONY PICTURES,RENTA,54361,"$3,327",70627,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,CAMINOS DEL CRIMEN ,,,,1910C,Contraflujo,Ciudad de México,RENTA,
BBVA SEGURO DE AUTO,BBVA,RENTA,54331,"$2,742",70535,9058,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #3,LA AYUDA ESTA A UN CLIC,,,,1235,Flujo,Ciudad de México,RENTA,
HERBAL,HERBAL ESSENSES,RENTA,54395,"$3,966",70603,11260,RT-DIG-PRG-PB,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,HERBAL PERFUME CAPILAR,,,,1235,Contraflujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1911C,Flujo,Ciudad de México,RENTA,
THE GOAT,SONY PICTURES,RENTA,54285,"$3,327",70600,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,THE GOAT,,,,1911C,Contraflujo,Ciudad de México,RENTA,
Miss Dior,JADORE,RENTA,1170,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,MISS DIOR NATALIE,,,,8202,Flujo,Ciudad de México,RENTA,
Miss Dior,JADORE,RENTA,1170,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,MISS DIOR BOTELLA,,,,8202,Contraflujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,8902C,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54256,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,TASTER´S CHOICE,,,,8902C,Contraflujo,Ciudad de México,RENTA,
AFORE XXI,CARRERA KARDIAS,RENTA,54401,"$3,105",70648,10475,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,AFORE XXI,,,,1045,Flujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,BONIFICACION,54366,$0,70589,9898,BF-CL-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,MUJER DE LADO,,,,1045,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1046,Flujo,Ciudad de México,RENTA,
