Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
THE GOAT,SONY PICTURES,RENTA,54285,"$3,327",70600,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,THE GOAT,,,,1046,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1551,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1551,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1552,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1552,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1053,Flujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1053,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,RENTA,54339,"$3,835",70589,9898,RT-CL-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,MUJER DE LADO,,,,1054,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,BONIFICACION,54366,$0,70589,9898,BF-CL-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,MUJER DE FRENTE,,,,1055,Flujo,Ciudad de México,RENTA,
IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1055,Contraflujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1168,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,EL MOCHAOREJAS,,,,1056,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54281,"$4,186",70482,11249,RT-CL-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1056,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1057,Flujo,Ciudad de México,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54308,"$3,450",70523,1934,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,CUMBRES BORRASCOSAS,,,,1057,Contraflujo,Ciudad de México,RENTA,
Miss Dior,JADORE,RENTA,1170,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,MISS DIOR NATALIE,,,,1058,Flujo,Ciudad de México,RENTA,
Miss Dior,JADORE,RENTA,1170,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,MISS DIOR BOTELLA,,,,1058,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54256,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,TASTER´S CHOICE,,,,1059,Flujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,BONIFICACION,54366,$0,70589,9898,BF-CL-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,MUJER DE LADO,,,,1059,Contraflujo,Ciudad de México,RENTA,
TENA,TENA,RENTA,1172,"$4,200",1278,11431,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,TENA PAQUETE,,,,1560,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1561,Flujo,Ciudad de México,RENTA,
NIDO,NIDO,RENTA,54297,"$3,339",70530,11074,RT-CL-PRA-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,NIDO,,,,1561,Contraflujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1562,Flujo,Ciudad de México,RENTA,
NIDO,NIDO,RENTA,54297,"$3,339",70530,11074,RT-CL-PRA-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,NIDO,,,,1562,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1064,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1064,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1065,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1065,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,BONIFICACION,54366,$0,70589,9898,BF-CL-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,MUJER DE FRENTE,,,,1066,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54281,"$4,186",70482,11249,RT-CL-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1066,Contraflujo,Ciudad de México,RENTA,
IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1067,Flujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,BONIFICACION,54366,$0,70589,9898,BF-CL-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,MUJER DE LADO,,,,1067,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1068,Flujo,Ciudad de México,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54308,"$3,450",70523,1934,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,CUMBRES BORRASCOSAS,,,,1068,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1069,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1069,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1070,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1070,Contraflujo,Ciudad de México,RENTA,
AFORE XXI,CARRERA KARDIAS,RENTA,54401,"$3,105",70648,10475,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,AFORE XXI,,,,1071,Contraflujo,Ciudad de México,RENTA,
Miss Dior,JADORE,RENTA,1170,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,MISS DIOR NATALIE,,,,1072,Flujo,Ciudad de México,RENTA,
Miss Dior,JADORE,RENTA,1170,"$5,571",1319,10467,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,MISS DIOR BOTELLA,,,,1072,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1073,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1073,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1074,Flujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1074,Contraflujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1075,Contraflujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1168,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,EL MOCHAOREJAS,,,,1076,Flujo,Ciudad de México,RENTA,
THE GOAT,SONY PICTURES,RENTA,54285,"$3,327",70600,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,THE GOAT,,,,1076,Contraflujo,Ciudad de México,RENTA,
AUDIBLE,AUDIBLE,RENTA,54396,"$3,153",70577,11487,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,AUDIBLE,,,,1577,Flujo,Ciudad de México,RENTA,
LOREAL / GARNIER - HAIR FOODIES - Ola 1,GARNIER,BONIFICACION,54316,$0,70578,5174,BF-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,DANNA DE ESPALDA,,,,1577,Contraflujo,Ciudad de México,RENTA,
CHANEL COCO CRUSH,CHANEL,RENTA,54374,"$4,728",70622,10917,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1079,Flujo,Ciudad de México,RENTA,
CHANEL COCO CRUSH,CHANEL,RENTA,54374,"$4,728",70622,10917,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1079,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54256,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,TASTER´S CHOICE,,,,1080,Flujo,Ciudad de México,RENTA,
AUDIBLE,AUDIBLE,RENTA,54396,"$3,153",70577,11487,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,AUDIBLE,,,,1080,Contraflujo,Ciudad de México,RENTA,
AFORE XXI,CARRERA KARDIAS,RENTA,54401,"$3,105",70648,10475,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,AFORE XXI,,,,1081,Flujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1081,Contraflujo,Ciudad de México,RENTA,
PREMIOS GANAR - GANAR 2026,PROMOTORA ACCSE,CORTESIA,54148,$0,70568,9443,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #3,"PREMIOS GANAR, GANAR",,,,1082,Flujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1082,Contraflujo,Ciudad de México,RENTA,
MOTOROLA,MOTOROLA,RENTA,54398,"$3,602",70645,11210,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #3,MOTOROLA,,,,1083,Flujo,Ciudad de México,RENTA,
EL REY LEÓN,OCESA,INTERCAMBIO,54349,$0,70620,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #3,Ven a sentir el amor,,,,1083,Contraflujo,Ciudad de México,RENTA,
HERO 25,BATISTE,RENTA,53857,"$4,293",70298,11268,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #3,HERO,,,,1084,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1084,Contraflujo,Ciudad de México,RENTA,
CRIME 101,SONY PICTURES,RENTA,54361,"$3,327",70627,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,CAMINOS DEL CRIMEN ,,,,1085,Flujo,Ciudad de México,RENTA,
MOTOROLA,MOTOROLA,RENTA,54398,"$3,602",70645,11210,RT-P1-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #3,MOTOROLA,,,,1085,Contraflujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1086,Flujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1086,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA,EL PALACIO DE HIERRO,BONIFICACION,54366,$0,70589,9898,BF-CL-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,MUJER DE FRENTE,,,,1087,Flujo,Ciudad de México,RENTA,
EDC 2026,OCESA,INTERCAMBIO,54348,$0,70605,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1087,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1088,Contraflujo,Ciudad de México,RENTA,
CRIME 101,SONY PICTURES,RENTA,54361,"$3,327",70627,11279,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,CAMINOS DEL CRIMEN ,,,,1092,Flujo,Ciudad de México,RENTA,
CCXP,OCESA,INTERCAMBIO,54365,$0,70630,10198,IN-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1092,Contraflujo,Ciudad de México,RENTA,
CHANEL COCO CRUSH,CHANEL,RENTA,54374,"$4,728",70622,10917,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1093,Flujo,Ciudad de México,RENTA,
CHANEL COCO CRUSH,CHANEL,RENTA,54374,"$4,728",70622,10917,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1093,Contraflujo,Ciudad de México,RENTA,
SEPHORA 2026,SEPHORA,RENTA,1212,"$5,571",1337,10890,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1094,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54256,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #3,TASTER´S CHOICE,,,,1095,Flujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1168,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #3,EL MOCHAOREJAS,,,,1095,Contraflujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1192,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #3,GENERICO,,,,1098,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1098,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1099,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1099,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1100,Flujo,Ciudad de México,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54308,"$3,450",70523,1934,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,CUMBRES BORRASCOSAS,,,,1100,Contraflujo,Ciudad de México,RENTA,
SIX FLAGS,SIX FLAGS,RENTA,54257,"$4,675",70565,9506,RT-CL-PRA-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #3,SIX FLAGS SPEEDWAY,,,,1101,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1101,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1102,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54305,"$6,000",70466,5171,RT-CL-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #3,EMBAJADORA ,,,,1102,Contraflujo,Ciudad de México,RENTA,
