Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
1229,Flujo,OFFERT NBA,DISNEY,RENTA,55096,"$4,171",70822,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,OFFERT NBA,Ciudad de México
1229,Contraflujo,SABRITAS MUNDIAL,SABRITAS,RENTA,55031,"$4,015",70541,2312,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,"SABRITAS 38,00 PREMIOS",Ciudad de México
1907C,Flujo,EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,55112,"$3,935",70661,9898,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1907C,Contraflujo,TED 2,UNIVERSAL TV,RENTA,1578,"$3,400",1426,9483,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,TED 2,Ciudad de México
1231,Flujo,TASTER´S CHOICE,NESCAFE,RENTA,55059,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,TASTER´S CHOICE,Ciudad de México
1231,Contraflujo,NESTLE LA LECHERA,LA LECHERA,RENTA,55047,"$2,337",70665,11753,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,CARNATION Y LECHERA,Ciudad de México
1908C,Flujo,MASTERCARD,MASTERCARD,RENTA,55152,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,MASTERCARD,Ciudad de México
1908C,Contraflujo,PLAN AT&T MUNDIAL,AT&T,RENTA,55030,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,IPHONE 17,Ciudad de México
1232,Flujo,CAPITAL ONE 2026 Q2,CAPITAL ONE,RENTA,55149,"$4,347",70662,11284,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #6,FONDO AMARILLO,Ciudad de México
1232,Contraflujo,EL REY LEÓN,OCESA,IN - RENTA (INTERCAMBIO),55084,$0,70671,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #6,El rey león un año en México ,Ciudad de México
