Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
1909C,Flujo,IKEA,IKEA,RENTA,55046,"$3,220",70675,10240,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,IKEA,Ciudad de México
1909C,Contraflujo,EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,55112,"$3,935",70661,9898,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1233,Flujo,EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,55112,"$3,935",70661,9898,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1233,Contraflujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1587,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #6,LATAS,Ciudad de México
1910C,Flujo,EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,55112,"$3,935",70661,9898,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1910C,Contraflujo,CLOROX,CLOROX,RENTA,55115,"$2,818",70788,11802,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CLOROX LAVANDA,Ciudad de México
1235,Flujo,TANG,TANG,RENTA,55074,"$5,348",70606,11774,RT-P1-PRA-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,TANG,Ciudad de México
1235,Contraflujo,EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,55112,"$3,935",70661,9898,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1911C,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1911C,Contraflujo,NU BANK / FLAGSHIP H3,NUBANK,RENTA,55100,"$3,077",70826,10768,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,¿HORARIO? // ¿FILAS?,Ciudad de México
8202,Flujo,HERBAL,HERBAL ESSENSES,RENTA,55033,"$3,966",70603,11260,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,HERBAL PERFUME CAPILAR,Ciudad de México
8202,Contraflujo,SUPER MARIO GALAXY,UNIVERSAL PICTURES,RENTA,55072,"$3,355",70722,9664,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
8902C,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
8902C,Contraflujo,TED 2,UNIVERSAL TV,RENTA,1578,"$3,400",1426,9483,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,TED 2,Ciudad de México
1045,Flujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55145,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1045,Contraflujo,MASTERCARD,MASTERCARD,RENTA,55152,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,MASTERCARD,Ciudad de México
1046,Flujo,PANTENE,PANTENE,RENTA,55034,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1046,Contraflujo,OFFERT NBA,DISNEY,RENTA,55096,"$4,171",70822,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,OFFERT NBA,Ciudad de México
1551,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1551,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1552,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1552,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1053,Flujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1587,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #6,PROMOBOLETOS,Ciudad de México
1053,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1054,Contraflujo,EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,55110,"$3,935",70714,9898,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,PERIÓDICO ABIERTO,Ciudad de México
1055,Flujo,OFFERT NBA,DISNEY,RENTA,55096,"$4,171",70822,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,OFFERT NBA,Ciudad de México
1055,Contraflujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55145,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1056,Flujo,HERBAL,HERBAL ESSENSES,RENTA,55033,"$3,966",70603,11260,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,HERBAL PERFUME CAPILAR,Ciudad de México
1056,Contraflujo,PLAN AT&T MUNDIAL,AT&T,RENTA,55030,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,MI SELECCIÓN HONOR,Ciudad de México
1057,Flujo,PUIG CAROLINA HERRERA 212,CAROLINA HERRERA,RENTA,55069,"$6,353",70595,10945,RT-P1-PRA-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,CAROLINA HERRERA 212,Ciudad de México
1057,Contraflujo,DIDI RIDES - Zonas,DIDI,RENTA,55133,"$2,695",70587,11751,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,30% OFF EN MAÑANAS Y TARDES,Ciudad de México
1058,Flujo,PANTENE,PANTENE,RENTA,55034,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1058,Contraflujo,SUPER MARIO GALAXY,UNIVERSAL PICTURES,RENTA,55072,"$3,355",70722,9664,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1059,Flujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1059,Contraflujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1560,Contraflujo,NESQUIK,NESQUIK,RENTA,55052,"$3,339",70785,10831,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,NESQUIK,Ciudad de México
1561,Flujo,TED 2,UNIVERSAL TV,RENTA,1578,"$3,400",1426,9483,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,IMPLEMENTACION,Ciudad de México
1561,Contraflujo,NIDO,NIDO,RENTA,55055,"$3,339",70530,11074,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,NIDO,Ciudad de México
1562,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1562,Contraflujo,NIDO,NIDO,RENTA,55055,"$3,339",70530,11074,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,NIDO,Ciudad de México
1064,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1064,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1065,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1065,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1066,Flujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1066,Contraflujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1067,Flujo,OFFERT NBA,DISNEY,RENTA,55096,"$4,171",70822,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,OFFERT NBA,Ciudad de México
1067,Contraflujo,MASTERCARD,MASTERCARD,RENTA,55152,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,MASTERCARD,Ciudad de México
1068,Flujo,PLAN AT&T MUNDIAL,AT&T,RENTA,55030,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,IPHONE 17 PRO,Ciudad de México
1068,Contraflujo,"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1587,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #6,LATAS,Ciudad de México
1069,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1069,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1070,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1070,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1071,Contraflujo,VISA FARMACIAS DEL AHORRO,VISA,RENTA,55162,"$6,279",70823,2538,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,VISA BANORTE 3 TARJETAS,Ciudad de México
1072,Flujo,PANTENE,PANTENE,RENTA,55034,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1072,Contraflujo,SUPER MARIO GALAXY,UNIVERSAL PICTURES,RENTA,55072,"$3,355",70722,9664,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1073,Flujo,PUIG CAROLINA HERRERA 212,CAROLINA HERRERA,RENTA,55069,"$6,353",70595,10945,RT-P1-PRA-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,CAROLINA HERRERA 212,Ciudad de México
1073,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1074,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1074,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1075,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1076,Flujo,ELECTROLIT,ELECTROLIT,RENTA,1531,"$3,632",1376,10460,RT-P1-COB-MX,BEGOÑA BEORLEGUI,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1076,Contraflujo,NESQUIK,NESQUIK,RENTA,55052,"$3,339",70785,10831,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,NESQUIK,Ciudad de México
1577,Flujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1577,Contraflujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1079,Flujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1079,Contraflujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1080,Flujo,OFFERT NBA,DISNEY,RENTA,55096,"$4,171",70822,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,OFFERT NBA,Ciudad de México
1080,Contraflujo,DiDi / CARD,DIDI,RENTA,55109,"$3,965",70695,11751,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1081,Flujo,PANTENE,PANTENE,RENTA,55034,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1081,Contraflujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55145,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1082,Flujo,TED 2,UNIVERSAL TV,RENTA,1578,"$3,400",1426,9483,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,IMPLEMENTACION,Ciudad de México
1082,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1083,Flujo,Soda stereo,OCESA,IN - RENTA (INTERCAMBIO),55085,$0,70688,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1083,Contraflujo,OFFERT NBA,DISNEY,RENTA,55096,"$4,171",70822,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,OFFERT NBA,Ciudad de México
1084,Flujo,PANTENE,PANTENE,RENTA,55034,"$3,966",70729,11261,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1084,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1085,Flujo,Tecate emblema,OCESA,IN - RENTA (INTERCAMBIO),55118,$0,70830,10198,IN-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #6,Tecate emblema,Ciudad de México
1085,Contraflujo,MASTERCARD,MASTERCARD,RENTA,55152,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,MASTERCARD,Ciudad de México
1086,Flujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1086,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1087,Flujo,TASTER´S CHOICE,NESCAFE,RENTA,55059,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,TASTER´S CHOICE,Ciudad de México
1087,Contraflujo,HERBAL,HERBAL ESSENSES,RENTA,55033,"$3,966",70603,11260,RT-P1-PRA-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,HERBAL PERFUME CAPILAR,Ciudad de México
1088,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1092,Flujo,MASTERCARD,MASTERCARD,RENTA,55152,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,MASTERCARD,Ciudad de México
1092,Contraflujo,NESQUIK,NESQUIK,RENTA,55052,"$3,339",70785,10831,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,NESQUIK,Ciudad de México
1093,Flujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1093,Contraflujo,CHANEL No5,CHANEL,RENTA,55116,"$4,728",70730,10917,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,CHANEL No 5,Ciudad de México
1094,Contraflujo,PATRICK - CHARLOTTE - MARIO,SEPHORA,RENTA,1583,"$5,571",1337,10890,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #6,PATRICK - CHARLOTTE - MARIO,Ciudad de México
1095,Flujo,OFFERT NBA,DISNEY,RENTA,55096,"$4,171",70822,9491,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #6,OFFERT NBA,Ciudad de México
1095,Contraflujo,BONAFONT CELEBRIDADES 26,BONAFONT,RENTA,55145,"$4,000",70836,11447,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1098,Flujo,EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,55112,"$3,935",70661,9898,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1098,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1099,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1099,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1100,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1100,Contraflujo,TASTER´S CHOICE,NESCAFE,RENTA,55059,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #6,TASTER´S CHOICE,Ciudad de México
1101,Flujo,EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,55112,"$3,935",70661,9898,RT-P1-PRC-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #6,GENERICO,Ciudad de México
1101,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1102,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1102,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1103,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1103,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1104,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,ELVIVE COLLAGEN LIFTER,Ciudad de México
1105,Flujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
1105,Contraflujo,TIC-TOC TEATRO ROYAL PEDREGAL,SIN MARCA,CORTESIA,1631,$0,1441,11517,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #6,TOC-TOC TEATRO ROYAL PEDREGAL,Ciudad de México
1106,Flujo,MASTERCARD,MASTERCARD,RENTA,55152,"$3,150",70839,11813,RT-P1-COB-MX,LEONOR BARRAÑON,,Catorcenas 2026,Catorcena #6,MASTERCARD,Ciudad de México
1106,Contraflujo,LOREAL PLANTA FIJA,LOREAL,RENTA,55139,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #6,GARNIER,Ciudad de México
