,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cod,codigo_unico OK,ubicacion,tipo_de_cara,cara,mueble,latitud,longitud,plaza,estado,municipio ,cp,tradicional_digital,sentido,Isla,Mueb x Isla,Zona Mundialista,entre_calle_1,entre_calle_2,orientacion ,tipo_de_mueble,ancho ,alto,archivos_id,tarifa_piso,tarifa_publica,nivel_socioeconomico,total_espacios,tiempo
1911C,1911C_Flujo_Ciudad de México ,AV. SANTA FE - DOVALI JAIME ,Flujo,A,Parabus,19.3675839,-99.2607010,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,O-P,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1911C,1911C_Contraflujo_Ciudad de México ,AV. SANTA FE - DOVALI JAIME ,Contraflujo,B,Parabus,19.3675839,-99.2607010,Ciudad de México,Ciudad de México ,Álvaro Obregón,1219,Tradicional ,O-P,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
8202,8202_Flujo_Ciudad de México ,BOSQUE DE TAMARINDOS - PASANDO BOSQUE DE PIÑONEROS,Flujo,A,Parabus,19.3867450,-99.2531300,Ciudad de México,Ciudad de México ,Cuajimalpa,5110,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
8202,8202_Contraflujo_Ciudad de México ,BOSQUE DE TAMARINDOS - PASANDO BOSQUE DE PIÑONEROS,Contraflujo,B,Parabus,19.3867450,-99.2531300,Ciudad de México,Ciudad de México ,Cuajimalpa,5110,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
8902C,8902C_Flujo_Ciudad de México ,BOSQUE DE TAMARINDOS - PASANDO BOSQUE DE PIÑONEROS,Flujo,A,Parabus,19.3867450,-99.2531300,Ciudad de México,Ciudad de México ,Cuajimalpa,5110,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
8902C,8902C_Contraflujo_Ciudad de México ,BOSQUE DE TAMARINDOS - PASANDO BOSQUE DE PIÑONEROS,Contraflujo,B,Parabus,19.3867450,-99.2531300,Ciudad de México,Ciudad de México ,Cuajimalpa,5110,Tradicional ,P-O,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1045,1045_Flujo_Ciudad de México ,REFORMA -  MARIANO ESCOBEDO DER.,Flujo,A,Parabus,19.4238040,-99.1782640,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11590,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1045,1045_Contraflujo_Ciudad de México ,REFORMA -  MARIANO ESCOBEDO DER.,Contraflujo,B,Parabus,19.4238040,-99.1782640,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11590,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1046,1046_Flujo_Ciudad de México ,REFORMA -  MARIANO ESCOBEDO IZQ.,Flujo,A,Parabus,19.4238080,-99.1782970,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1046,1046_Contraflujo_Ciudad de México ,REFORMA -  MARIANO ESCOBEDO IZQ.,Contraflujo,B,Parabus,19.4238080,-99.1782970,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1551,1551_Flujo_Ciudad de México ,REFORMA - MUSEO DE ANTROPOLOGIA II DER,Flujo,A,Parabus,19.4254170,-99.1891070,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1551,1551_Contraflujo_Ciudad de México ,REFORMA - MUSEO DE ANTROPOLOGIA II DER,Contraflujo,B,Parabus,19.4254170,-99.1891070,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1552,1552_Flujo_Ciudad de México ,REFORMA - MUSEO DE ANTROPOLOGIA II IZQ.,Flujo,A,Parabus,19.4254190,-99.1891260,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1552,1552_Contraflujo_Ciudad de México ,REFORMA - MUSEO DE ANTROPOLOGIA II IZQ.,Contraflujo,B,Parabus,19.4254190,-99.1891260,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1053,1053_Flujo_Ciudad de México ,REFORMA - RUBEN DARIO DER.,Flujo,A,Parabus,19.4257820,-99.1914790,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1053,1053_Contraflujo_Ciudad de México ,REFORMA - RUBEN DARIO DER.,Contraflujo,B,Parabus,19.4257820,-99.1914790,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1054,1054_Contraflujo_Ciudad de México ,REFORMA - RUBEN DARIO IZQ.,Contraflujo,B,Parabus,19.4257840,-99.1914970,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1055,1055_Flujo_Ciudad de México ,REFORMA - AUDITORIO DER.,Flujo,A,Parabus,19.4259440,-99.1925760,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1055,1055_Contraflujo_Ciudad de México ,REFORMA - AUDITORIO DER.,Contraflujo,B,Parabus,19.4259440,-99.1925760,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1056,1056_Flujo_Ciudad de México ,REFORMA - AUDITORIO CENT. DER.,Flujo,A,Parabus,19.4259740,-99.1927620,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1056,1056_Contraflujo_Ciudad de México ,REFORMA - AUDITORIO CENT. DER.,Contraflujo,B,Parabus,19.4259740,-99.1927620,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1057,1057_Flujo_Ciudad de México ,REFORMA - AUDITORIO CENT. IZQ.,Flujo,A,Parabus,19.4259950,-99.1928850,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1057,1057_Contraflujo_Ciudad de México ,REFORMA - AUDITORIO CENT. IZQ.,Contraflujo,B,Parabus,19.4259950,-99.1928850,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1058,1058_Flujo_Ciudad de México ,REFORMA - AUDITORIO IZQ.,Flujo,A,Parabus,19.4260120,-99.1930210,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1058,1058_Contraflujo_Ciudad de México ,REFORMA - AUDITORIO IZQ.,Contraflujo,B,Parabus,19.4260120,-99.1930210,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,4,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1059,1059_Flujo_Ciudad de México ,REFORMA - JARDINES REP. LIBANO,Flujo,A,Parabus,19.4271710,-99.2003730,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1059,1059_Contraflujo_Ciudad de México ,REFORMA - JARDINES REP. LIBANO,Contraflujo,B,Parabus,19.4271710,-99.2003730,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1560,1560_Contraflujo_Ciudad de México ,REFORMA - PERIFERICO DER.,Contraflujo,B,Parabus,19.4278510,-99.2021580,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,3,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1561,1561_Flujo_Ciudad de México ,REFORMA - PERIFERICO CENT DER.,Flujo,A,Parabus,19.4278690,-99.2021950,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,3,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1561,1561_Contraflujo_Ciudad de México ,REFORMA - PERIFERICO CENT DER.,Contraflujo,B,Parabus,19.4278690,-99.2021950,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11560,Tradicional ,N-S,SI,3,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1562,1562_Flujo_Ciudad de México ,REFORMA - PERIFERICO CEN IZQ.,Flujo,A,Parabus,19.4278890,-99.2022410,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,3,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1562,1562_Contraflujo_Ciudad de México ,REFORMA - PERIFERICO CEN IZQ.,Contraflujo,B,Parabus,19.4278890,-99.2022410,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11100,Tradicional ,N-S,SI,3,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1064,1064_Flujo_Ciudad de México ,REFORMA - PRADO NORTE DER,Flujo,A,Parabus,19.4269960,-99.2057300,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1064,1064_Contraflujo_Ciudad de México ,REFORMA - PRADO NORTE DER,Contraflujo,B,Parabus,19.4269960,-99.2057300,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1065,1065_Flujo_Ciudad de México ,REFORMA - PRADO NORTE IZQ.,Flujo,A,Parabus,19.4269870,-99.2057490,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1065,1065_Contraflujo_Ciudad de México ,REFORMA - PRADO NORTE IZQ.,Contraflujo,B,Parabus,19.4269870,-99.2057490,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1066,1066_Flujo_Ciudad de México ,REFORMA -  MONTE ALTAI,Flujo,A,Parabus,19.4249480,-99.2089320,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1066,1066_Contraflujo_Ciudad de México ,REFORMA -  MONTE ALTAI,Contraflujo,B,Parabus,19.4249480,-99.2089320,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1067,1067_Flujo_Ciudad de México ,REFORMA -  EXPLANADA I,Flujo,A,Parabus,19.4245040,-99.2106550,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1067,1067_Contraflujo_Ciudad de México ,REFORMA -  EXPLANADA I,Contraflujo,B,Parabus,19.4245040,-99.2106550,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
